xogador,mediapuntos,mediarebotes,mediaasistencias,altura,averageannualvalue
Stephen Curry,31.4,6.7,7.3,1.88,53838.416
LeBron James,25.8,8.6,6.3,2.06,42827.766
Russell Westbrook,16.0,5.2,7.2,2.03,41358.814
Bradley Beal,26.6,3.8,6.6,1.93,50203.930
Kevin Durant,30.4,6.5,7.3,2.08,41063.925
Paul George,30.6,6.0,7.3,2.03,44066.367
Giannis Antetokounmpo,31.3,11.5,10.2,2.13,45640.084
Damian Lillard,26.3,4.3,7.1,1.88,44066.288
Kawhi Leonard,16.0,4.0,5.4,2.01,34066.288
Klay Thompson,20.0,3.6,6.2,1.98,37980.720
Rudy Gobert,24.6,11.8,8.9,2.16,41000.000
Anthony Davis,26.3,12.7,2.6,2.08,37980.720
Khris Middleton,20.1,5.4,5.4,2.01,35500.000
Jimmy Buttler,20.9,6.6,6.1,2.01,35197.650
Tobias Harris,16.2,6.2,2.9,2.01,36000.000
Luka Dončić,33.6,8.7,8.7,2.01,43031.940
Trae Young,27.8,2.9,9.6,1.85,43031.940
Zach LaVine,20.9,4.2,4.4,1.96,43031.940
Kyrie Irving,24.7,4.1,4.3,1.88,34122.650
Pascal Siakam,24.0,9.2,7.1,2.03,34226.304
Ben Simmons,8.4,6.6,5.8,2.08,32448.672
Devin Booker,16.0,5.3,5.8,1.96,31650.600
Karl-Anthony Towns,20.8,8.2,5.3,2.13,31650.600
Kristaps Porzingis,21.6,8.7,2.5,2.21,31650.600
Joel Embiid,31.1,9.6,4.9,2.13,39542.010
Andrew Wiggins,18.6,5.3,1.3,2.01,29542.010
CJ McCollum,18.7,5.1,6.1,1.91,33333.333
James Harden,22.0,7.0,10.0,1.96,34320.000
Jrue Holiday,17.8,4.9,7.3,1.96,33749.333
Nikola Jokic,20.7,9.8,8.9,2.11,34542.010
Jamal Murray,17.8,3.8,4.8,1.93,31650.600
Brandon Ingram,18.8,5.1,4.7,2.03,31650.600
D’Angelo Russell,13.4,3.4,3.7,1.93,29331.375
Deandre Ayton,17.0,9.8,2.2,2.13,33232.282
Shai Gilgeous-Alexander,22.1,4.9,6.1,1.98,35859.950
Michael Porter Jr.,17.4,6.0,1.3,2.08,35859.950
Jayson Tatum,26.6,7.8,4.5,2.03,35600.060
Donovan Mitchell,26.4,4.0,5.1,1.85,36600.060
Bam Adebayo,20.7,9.3,3.3,2.06,32600.060
De’Aaron Fox,24.0,4.9,6.0,1.91,32600.060
